model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.25,q0.5,q0.75,q0.975,retrospective
KIT-simple_nowcast,inc case,2023-04-16,2023-04-16,DE,00-04,seasonal_influenza_survstat,219,201,211,217,226,245,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-09,DE,00-04,seasonal_influenza_survstat,265,255,259,263,269,284,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-02,DE,00-04,seasonal_influenza_survstat,400,392,395,399,403,416,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-26,DE,00-04,seasonal_influenza_survstat,454,449,452,454,456,464,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-19,DE,00-04,seasonal_influenza_survstat,451,449,450,451,453,456,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-16,DE,05-14,seasonal_influenza_survstat,313,286,301,311,323,352,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-09,DE,05-14,seasonal_influenza_survstat,551,534,541,548,558,585,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-02,DE,05-14,seasonal_influenza_survstat,929,916,921,926,934,957,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-26,DE,05-14,seasonal_influenza_survstat,1325,1317,1319,1323,1328,1344,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-19,DE,05-14,seasonal_influenza_survstat,1231,1228,1229,1230,1232,1239,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-16,DE,15-34,seasonal_influenza_survstat,351,325,339,349,360,387,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-09,DE,15-34,seasonal_influenza_survstat,397,382,390,396,403,421,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-02,DE,15-34,seasonal_influenza_survstat,709,696,703,708,714,730,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-26,DE,15-34,seasonal_influenza_survstat,999,991,995,998,1002,1013,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-19,DE,15-34,seasonal_influenza_survstat,866,862,864,866,868,873,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-16,DE,35-59,seasonal_influenza_survstat,358,338,349,357,366,386,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-09,DE,35-59,seasonal_influenza_survstat,446,437,442,446,450,459,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-02,DE,35-59,seasonal_influenza_survstat,643,636,640,643,646,654,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-26,DE,35-59,seasonal_influenza_survstat,898,893,896,898,900,907,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-19,DE,35-59,seasonal_influenza_survstat,809,807,808,809,811,814,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-16,DE,60-79,seasonal_influenza_survstat,76,70,73,75,78,85,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-09,DE,60-79,seasonal_influenza_survstat,77,75,76,77,78,81,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-02,DE,60-79,seasonal_influenza_survstat,121,119,119,120,121,124,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-26,DE,60-79,seasonal_influenza_survstat,161,160,160,161,162,164,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-19,DE,60-79,seasonal_influenza_survstat,164,164,164,164,165,166,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-16,DE,80+,seasonal_influenza_survstat,44,41,42,44,45,50,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-09,DE,80+,seasonal_influenza_survstat,44,43,43,44,44,46,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-02,DE,80+,seasonal_influenza_survstat,60,59,59,59,60,62,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-26,DE,80+,seasonal_influenza_survstat,66,66,66,66,67,68,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-19,DE,80+,seasonal_influenza_survstat,73,73,73,73,73,74,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-16,DE,00+,seasonal_influenza_survstat,1351,1264,1312,1345,1384,1476,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-09,DE,00+,seasonal_influenza_survstat,1775,1732,1754,1770,1791,1841,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-02,DE,00+,seasonal_influenza_survstat,2858,2825,2842,2855,2870,2909,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-26,DE,00+,seasonal_influenza_survstat,3902,3880,3891,3900,3911,3938,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-19,DE,00+,seasonal_influenza_survstat,3595,3585,3590,3594,3599,3613,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-16,DE-BB,00+,seasonal_influenza_survstat,63,43,46,54,70,133,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-09,DE-BB,00+,seasonal_influenza_survstat,57,41,41,41,51,176,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-02,DE-BB,00+,seasonal_influenza_survstat,134,120,120,120,130,239,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-26,DE-BB,00+,seasonal_influenza_survstat,157,148,148,148,152,233,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-03-19,DE-BB,00+,seasonal_influenza_survstat,118,114,114,114,116,148,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-16,DE-BE,00+,seasonal_influenza_survstat,60,57,58,59,61,68,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-09,DE-BE,00+,seasonal_influenza_survstat,77,76,76,76,77,80,FALSE
KIT-simple_nowcast,inc case,2023-04-16,2023-04-02,DE-BE,00+,seasonal_influenza_survstat,158,158,158,158,158,161,FALSE
