"","date"
"1",2022-11-06
"2",2022-11-13
"3",2022-11-20
"4",2022-11-27
"5",2022-12-04
"6",2022-12-11
"7",2022-12-18
"8",2022-12-25
"9",2023-01-01
"10",2023-01-08
"11",2023-01-15
"12",2023-01-22
"13",2023-01-29
"14",2023-02-05
"15",2023-02-12
"16",2023-02-19
"17",2023-02-26
"18",2023-03-19
"19",2023-03-26
"20",2023-04-09
"21",2022-05-29
"22",2022-06-05
"23",2022-06-12
"24",2022-06-19
"25",2022-06-26
"26",2022-07-03
"27",2022-07-10
"28",2022-07-17
"29",2022-07-24
"30",2022-07-31
"31",2022-08-07
"32",2022-08-14
"33",2022-08-21
"34",2022-08-28
"35",2022-09-04
"36",2022-09-11
"37",2022-09-18
"38",2022-09-25
"39",2022-10-02
"40",2022-10-09
"41",2022-10-16
"42",2022-10-23
"43",2022-10-30
"44",2022-11-06
"45",2022-11-13
"46",2022-11-20
"47",2022-11-27
"48",2022-12-04
"49",2022-12-11
"50",2022-12-18
"51",2022-12-25
"52",2023-01-01
"53",2023-01-08
"54",2023-01-15
"55",2023-01-22
