model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.25,q0.5,q0.75,q0.975,retrospective
KIT-simple_nowcast,inc case,2022-11-06,2022-11-06,DE,00-04,seasonal_influenza_survstat,373,337,357,370,386,422,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-10-30,DE,00-04,seasonal_influenza_survstat,330,309,314,323,338,389,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-10-23,DE,00-04,seasonal_influenza_survstat,295,283,285,290,299,334,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-10-16,DE,00-04,seasonal_influenza_survstat,193,188,188,190,195,219,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-10-09,DE,00-04,seasonal_influenza_survstat,100,99,99,99,101,109,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-11-06,DE,05-14,seasonal_influenza_survstat,650,607,628,644,666,721,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-10-30,DE,05-14,seasonal_influenza_survstat,745,741,741,742,745,764,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-10-23,DE,05-14,seasonal_influenza_survstat,599,597,597,597,599,607,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-10-16,DE,05-14,seasonal_influenza_survstat,391,390,390,390,391,394,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-10-09,DE,05-14,seasonal_influenza_survstat,203,203,203,203,203,203,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-11-06,DE,15-34,seasonal_influenza_survstat,637,574,607,631,661,734,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-10-30,DE,15-34,seasonal_influenza_survstat,557,521,535,550,571,630,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-10-23,DE,15-34,seasonal_influenza_survstat,498,475,483,492,507,552,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-10-16,DE,15-34,seasonal_influenza_survstat,446,432,436,441,451,483,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-10-09,DE,15-34,seasonal_influenza_survstat,298,293,294,296,300,314,FALSE
KIT-simple_nowcast,inc case,2022-11-06,2022-11-06,DE,35-59,seasonal_influenza_survstat,452,428,442,451,461,485,FALSE
