"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-simple_nowcast","inc case","2023-04-30","2023-04-30","DE","00-04","seasonal_influenza",116,106,111,115,119,130,FALSE
"9","KIT-simple_nowcast","inc case","2023-04-30","2023-04-23","DE","00-04","seasonal_influenza",177,172,174,176,179,185,FALSE
"17","KIT-simple_nowcast","inc case","2023-04-30","2023-04-16","DE","00-04","seasonal_influenza",209,206,207,209,210,216,FALSE
"25","KIT-simple_nowcast","inc case","2023-04-30","2023-04-09","DE","00-04","seasonal_influenza",260,258,259,260,261,265,FALSE
"33","KIT-simple_nowcast","inc case","2023-04-30","2023-04-02","DE","00-04","seasonal_influenza",393,392,392,393,394,396,FALSE
"41","KIT-simple_nowcast","inc case","2023-04-30","2023-04-30","DE","05-14","seasonal_influenza",190,173,182,188,196,214,FALSE
"49","KIT-simple_nowcast","inc case","2023-04-30","2023-04-23","DE","05-14","seasonal_influenza",227,218,222,226,231,245,FALSE
"57","KIT-simple_nowcast","inc case","2023-04-30","2023-04-16","DE","05-14","seasonal_influenza",311,304,307,309,313,325,FALSE
"65","KIT-simple_nowcast","inc case","2023-04-30","2023-04-09","DE","05-14","seasonal_influenza",546,541,542,545,548,557,FALSE
"73","KIT-simple_nowcast","inc case","2023-04-30","2023-04-02","DE","05-14","seasonal_influenza",922,919,920,921,923,928,FALSE
"81","KIT-simple_nowcast","inc case","2023-04-30","2023-04-30","DE","15-34","seasonal_influenza",218,201,211,217,225,241,FALSE
"89","KIT-simple_nowcast","inc case","2023-04-30","2023-04-23","DE","15-34","seasonal_influenza",281,272,277,280,284,294,FALSE
"97","KIT-simple_nowcast","inc case","2023-04-30","2023-04-16","DE","15-34","seasonal_influenza",360,353,356,359,362,370,FALSE
"105","KIT-simple_nowcast","inc case","2023-04-30","2023-04-09","DE","15-34","seasonal_influenza",389,384,387,389,391,397,FALSE
"113","KIT-simple_nowcast","inc case","2023-04-30","2023-04-02","DE","15-34","seasonal_influenza",699,696,697,699,700,704,FALSE
"121","KIT-simple_nowcast","inc case","2023-04-30","2023-04-30","DE","35-59","seasonal_influenza",200,186,194,200,206,219,FALSE
"129","KIT-simple_nowcast","inc case","2023-04-30","2023-04-23","DE","35-59","seasonal_influenza",282,275,279,282,284,291,FALSE
"137","KIT-simple_nowcast","inc case","2023-04-30","2023-04-16","DE","35-59","seasonal_influenza",360,354,357,359,362,367,FALSE
"145","KIT-simple_nowcast","inc case","2023-04-30","2023-04-09","DE","35-59","seasonal_influenza",442,438,440,442,443,447,FALSE
"153","KIT-simple_nowcast","inc case","2023-04-30","2023-04-02","DE","35-59","seasonal_influenza",646,644,645,646,647,649,FALSE
"161","KIT-simple_nowcast","inc case","2023-04-30","2023-04-30","DE","60-79","seasonal_influenza",51,46,49,51,53,59,FALSE
"169","KIT-simple_nowcast","inc case","2023-04-30","2023-04-23","DE","60-79","seasonal_influenza",71,69,70,71,72,75,FALSE
"177","KIT-simple_nowcast","inc case","2023-04-30","2023-04-16","DE","60-79","seasonal_influenza",76,75,75,76,77,80,FALSE
"185","KIT-simple_nowcast","inc case","2023-04-30","2023-04-09","DE","60-79","seasonal_influenza",78,77,77,78,78,80,FALSE
"193","KIT-simple_nowcast","inc case","2023-04-30","2023-04-02","DE","60-79","seasonal_influenza",119,119,119,119,120,121,FALSE
"201","KIT-simple_nowcast","inc case","2023-04-30","2023-04-30","DE","80+","seasonal_influenza",26,24,25,26,27,31,FALSE
"209","KIT-simple_nowcast","inc case","2023-04-30","2023-04-23","DE","80+","seasonal_influenza",37,36,36,36,37,39,FALSE
"217","KIT-simple_nowcast","inc case","2023-04-30","2023-04-16","DE","80+","seasonal_influenza",46,46,46,46,47,48,FALSE
"225","KIT-simple_nowcast","inc case","2023-04-30","2023-04-09","DE","80+","seasonal_influenza",45,45,45,45,45,47,FALSE
"233","KIT-simple_nowcast","inc case","2023-04-30","2023-04-02","DE","80+","seasonal_influenza",59,59,59,59,59,60,FALSE
"241","KIT-simple_nowcast","inc case","2023-04-30","2023-04-30","DE","00+","seasonal_influenza",799,742,774,795,820,878,FALSE
"249","KIT-simple_nowcast","inc case","2023-04-30","2023-04-23","DE","00+","seasonal_influenza",1073,1048,1061,1071,1082,1109,FALSE
"257","KIT-simple_nowcast","inc case","2023-04-30","2023-04-16","DE","00+","seasonal_influenza",1360,1342,1352,1359,1367,1387,FALSE
"265","KIT-simple_nowcast","inc case","2023-04-30","2023-04-09","DE","00+","seasonal_influenza",1759,1747,1753,1758,1764,1779,FALSE
