model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.25,q0.5,q0.75,q0.975,retrospective
KIT-simple_nowcast,inc case,2023-03-19,2023-03-19,DE,00-04,seasonal_influenza_survstat,455,419,437,451,468,510,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-12,DE,00-04,seasonal_influenza_survstat,372,361,366,370,376,392,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-05,DE,00-04,seasonal_influenza_survstat,307,300,303,306,309,319,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-26,DE,00-04,seasonal_influenza_survstat,263,259,261,262,264,269,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-19,DE,00-04,seasonal_influenza_survstat,254,252,252,253,254,257,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-19,DE,05-14,seasonal_influenza_survstat,1284,1172,1231,1274,1327,1456,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-12,DE,05-14,seasonal_influenza_survstat,980,935,952,970,997,1077,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-05,DE,05-14,seasonal_influenza_survstat,748,722,730,741,759,815,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-26,DE,05-14,seasonal_influenza_survstat,684,669,673,679,690,724,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-19,DE,05-14,seasonal_influenza_survstat,585,579,581,583,587,599,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-19,DE,15-34,seasonal_influenza_survstat,872,812,844,867,895,962,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-12,DE,15-34,seasonal_influenza_survstat,833,814,823,831,840,863,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-05,DE,15-34,seasonal_influenza_survstat,822,811,816,821,826,841,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-26,DE,15-34,seasonal_influenza_survstat,689,683,686,688,691,699,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-19,DE,15-34,seasonal_influenza_survstat,637,634,635,637,638,642,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-19,DE,35-59,seasonal_influenza_survstat,811,760,788,807,830,886,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-12,DE,35-59,seasonal_influenza_survstat,832,816,824,830,838,860,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-05,DE,35-59,seasonal_influenza_survstat,735,725,730,734,739,752,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-26,DE,35-59,seasonal_influenza_survstat,752,746,749,752,755,762,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-19,DE,35-59,seasonal_influenza_survstat,720,717,718,719,721,725,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-19,DE,60-79,seasonal_influenza_survstat,163,150,156,162,168,185,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-12,DE,60-79,seasonal_influenza_survstat,206,201,203,205,208,215,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-05,DE,60-79,seasonal_influenza_survstat,196,193,194,196,197,202,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-26,DE,60-79,seasonal_influenza_survstat,177,175,175,176,178,181,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-19,DE,60-79,seasonal_influenza_survstat,242,241,241,242,242,245,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-19,DE,80+,seasonal_influenza_survstat,79,72,75,78,82,91,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-12,DE,80+,seasonal_influenza_survstat,115,113,114,115,116,121,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-05,DE,80+,seasonal_influenza_survstat,96,95,95,96,97,100,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-26,DE,80+,seasonal_influenza_survstat,107,106,106,106,107,110,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-19,DE,80+,seasonal_influenza_survstat,121,121,121,121,122,123,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-19,DE,00+,seasonal_influenza_survstat,3639,3381,3516,3615,3735,4031,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-12,DE,00+,seasonal_influenza_survstat,3327,3250,3287,3317,3357,3459,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-05,DE,00+,seasonal_influenza_survstat,2899,2854,2876,2893,2916,2974,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-26,DE,00+,seasonal_influenza_survstat,2668,2644,2656,2665,2678,2710,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-19,DE,00+,seasonal_influenza_survstat,2557,2546,2552,2556,2561,2575,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-19,DE-BB,00+,seasonal_influenza_survstat,108,95,97,103,112,148,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-12,DE-BB,00+,seasonal_influenza_survstat,118,115,115,115,117,146,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-05,DE-BB,00+,seasonal_influenza_survstat,75,73,73,73,74,92,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-26,DE-BB,00+,seasonal_influenza_survstat,53,52,52,52,52,62,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-19,DE-BB,00+,seasonal_influenza_survstat,57,57,57,57,57,62,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-19,DE-BE,00+,seasonal_influenza_survstat,174,171,172,173,176,183,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-12,DE-BE,00+,seasonal_influenza_survstat,130,130,130,130,130,132,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-05,DE-BE,00+,seasonal_influenza_survstat,129,129,129,129,129,130,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-26,DE-BE,00+,seasonal_influenza_survstat,148,148,148,148,148,149,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-19,DE-BE,00+,seasonal_influenza_survstat,122,122,122,122,122,123,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-19,DE-BW,00+,seasonal_influenza_survstat,447,424,435,444,455,486,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-12,DE-BW,00+,seasonal_influenza_survstat,442,439,440,441,444,452,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-05,DE-BW,00+,seasonal_influenza_survstat,444,442,442,443,445,451,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-26,DE-BW,00+,seasonal_influenza_survstat,435,434,434,435,436,440,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-19,DE-BW,00+,seasonal_influenza_survstat,365,365,365,365,366,368,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-19,DE-BY,00+,seasonal_influenza_survstat,746,705,728,743,761,802,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-12,DE-BY,00+,seasonal_influenza_survstat,692,675,684,690,698,718,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-05,DE-BY,00+,seasonal_influenza_survstat,645,633,638,643,650,667,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-26,DE-BY,00+,seasonal_influenza_survstat,537,529,533,536,540,551,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-02-19,DE-BY,00+,seasonal_influenza_survstat,605,601,603,604,606,612,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-19,DE-HB,00+,seasonal_influenza_survstat,9,8,8,8,9,12,FALSE
KIT-simple_nowcast,inc case,2023-03-19,2023-03-12,DE-HB,00+,seasonal_influenza_survstat,11,11,11,11,11,13,FALSE
