"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-simple_nowcast","inc case","2023-03-12","2023-03-12","DE","00-04","seasonal_influenza",381,347,365,378,394,434,FALSE
"9","KIT-simple_nowcast","inc case","2023-03-12","2023-03-05","DE","00-04","seasonal_influenza",312,301,306,310,316,332,FALSE
"17","KIT-simple_nowcast","inc case","2023-03-12","2023-02-26","DE","00-04","seasonal_influenza",265,258,261,264,267,277,FALSE
"25","KIT-simple_nowcast","inc case","2023-03-12","2023-02-19","DE","00-04","seasonal_influenza",254,250,252,253,255,261,FALSE
"33","KIT-simple_nowcast","inc case","2023-03-12","2023-02-12","DE","00-04","seasonal_influenza",219,217,217,218,219,222,FALSE
"41","KIT-simple_nowcast","inc case","2023-03-12","2023-03-12","DE","05-14","seasonal_influenza",996,905,953,988,1030,1133,FALSE
"49","KIT-simple_nowcast","inc case","2023-03-12","2023-03-05","DE","05-14","seasonal_influenza",755,720,734,748,769,827,FALSE
"57","KIT-simple_nowcast","inc case","2023-03-12","2023-02-26","DE","05-14","seasonal_influenza",690,669,677,685,698,734,FALSE
"65","KIT-simple_nowcast","inc case","2023-03-12","2023-02-19","DE","05-14","seasonal_influenza",590,579,583,588,595,616,FALSE
"73","KIT-simple_nowcast","inc case","2023-03-12","2023-02-12","DE","05-14","seasonal_influenza",515,510,512,514,516,525,FALSE
"81","KIT-simple_nowcast","inc case","2023-03-12","2023-03-12","DE","15-34","seasonal_influenza",853,791,824,847,876,945,FALSE
"89","KIT-simple_nowcast","inc case","2023-03-12","2023-03-05","DE","15-34","seasonal_influenza",824,806,815,822,831,853,FALSE
"97","KIT-simple_nowcast","inc case","2023-03-12","2023-02-26","DE","15-34","seasonal_influenza",693,682,688,692,697,710,FALSE
"105","KIT-simple_nowcast","inc case","2023-03-12","2023-02-19","DE","15-34","seasonal_influenza",639,633,636,638,641,648,FALSE
"113","KIT-simple_nowcast","inc case","2023-03-12","2023-02-12","DE","15-34","seasonal_influenza",578,575,576,577,579,582,FALSE
